PRENEI_MENS,PRELIQ_MENS,PRETOTM_MENS,T_MENS,EVAP_MENS,ETP_MENS,PE_MENS,SWI_MENS,DRAINC_MENS,RUNC_MENS,ECOULEMENT_MENS,ville,Annee,Mois,longitude,latitude,Departement,distance_km
40.9,51.2,92.1,-0.3,4.3,10.2,87.8,0.96,67.5,37.6,52.7,Ville 7603,1960,1,5.65,45.25,Isere,8.883688380374108
24.4,91.0,115.4,3.8,9.4,14.9,106.0,0.96,60.9,34.4,54.9,Ville 7603,1960,2,5.65,45.25,Isere,8.883688380374108
0.0,130.1,130.1,6.8,33.3,34.9,96.8,0.99,107.5,21.1,0.0,Ville 7603,1960,3,5.65,45.25,Isere,8.883688380374108
0.5,30.0,30.5,9.0,59.3,70.3,-28.8,0.76,18.9,2.5,0.6,Ville 7603,1960,4,5.65,45.25,Isere,8.883688380374108
0.0,42.2,42.2,15.0,80.3,100.8,-38.1,0.55,4.7,2.0,0.0,Ville 7603,1960,5,5.65,45.25,Isere,8.883688380374108
0.0,105.8,105.8,17.7,90.5,112.5,15.3,0.45,4.6,5.9,0.0,Ville 7603,1960,6,5.65,45.25,Isere,8.883688380374108
0.0,132.2,132.2,17.0,91.9,97.2,40.3,0.52,4.2,8.8,0.0,Ville 7603,1960,7,5.65,45.25,Isere,8.883688380374108
0.0,150.4,150.4,16.5,89.6,81.9,60.8,0.7,17.2,17.8,0.0,Ville 7603,1960,8,5.65,45.25,Isere,8.883688380374108
0.0,238.5,238.5,13.0,53.2,44.9,185.3,0.85,45.2,36.2,0.0,Ville 7603,1960,9,5.65,45.25,Isere,8.883688380374108
0.0,209.6,209.6,9.9,29.3,22.9,180.3,1.07,180.8,37.3,0.0,Ville 7603,1960,10,5.65,45.25,Isere,8.883688380374108
0.0,154.6,154.6,6.0,12.3,10.8,142.3,1.02,112.0,24.7,0.0,Ville 7603,1960,11,5.65,45.25,Isere,8.883688380374108
51.8,14.4,66.2,0.3,1.7,7.6,64.5,0.92,48.7,5.4,14.9,Ville 7603,1960,12,5.65,45.25,Isere,8.883688380374108
47.2,61.3,108.5,0.6,0.7,7.0,107.8,0.9,35.3,42.7,71.0,Ville 7603,1961,1,5.65,45.25,Isere,8.883688380374108
36.3,60.6,96.9,4.9,6.1,20.2,90.8,0.99,91.9,45.5,126.3,Ville 7603,1961,2,5.65,45.25,Isere,8.883688380374108
0.1,16.4,16.5,6.6,45.4,57.5,-28.9,0.82,32.4,6.4,6.5,Ville 7603,1961,3,5.65,45.25,Isere,8.883688380374108
0.0,115.8,115.8,11.9,48.3,51.9,67.5,0.72,14.4,12.9,0.0,Ville 7603,1961,4,5.65,45.25,Isere,8.883688380374108
0.0,74.4,74.4,12.3,82.9,88.0,-8.5,0.73,17.1,6.0,0.0,Ville 7603,1961,5,5.65,45.25,Isere,8.883688380374108
0.0,73.0,73.0,17.1,99.4,103.7,-26.4,0.69,9.7,5.4,0.0,Ville 7603,1961,6,5.65,45.25,Isere,8.883688380374108
0.0,160.7,160.7,17.4,105.3,109.0,55.4,0.65,12.4,14.3,0.0,Ville 7603,1961,7,5.65,45.25,Isere,8.883688380374108
0.0,56.8,56.8,17.4,95.4,105.9,-38.6,0.61,7.2,4.2,0.0,Ville 7603,1961,8,5.65,45.25,Isere,8.883688380374108
0.0,15.7,15.7,18.3,41.7,78.2,-26.0,0.39,2.2,0.3,0.0,Ville 7603,1961,9,5.65,45.25,Isere,8.883688380374108
0.0,171.9,171.9,10.5,33.2,24.9,138.7,0.57,13.0,17.8,0.0,Ville 7603,1961,10,5.65,45.25,Isere,8.883688380374108
1.0,74.4,75.4,4.2,12.7,11.5,62.7,0.86,31.8,9.8,0.9,Ville 7603,1961,11,5.65,45.25,Isere,8.883688380374108
10.5,151.9,162.4,2.3,6.9,8.2,155.5,1.0,108.3,33.1,12.8,Ville 7603,1961,12,5.65,45.25,Isere,8.883688380374108
9.3,112.5,121.8,2.5,11.3,12.8,110.5,1.0,98.2,20.5,10.3,Ville 7603,1962,1,5.65,45.25,Isere,8.883688380374108
32.6,57.3,89.9,0.7,5.8,14.6,84.1,0.94,41.3,24.9,46.2,Ville 7603,1962,2,5.65,45.25,Isere,8.883688380374108
15.7,86.0,101.7,3.1,25.3,37.5,76.4,0.93,53.4,20.8,28.5,Ville 7603,1962,3,5.65,45.25,Isere,8.883688380374108
10.2,74.2,84.4,8.9,56.0,60.7,28.4,0.94,75.2,12.6,13.1,Ville 7603,1962,4,5.65,45.25,Isere,8.883688380374108
0.0,95.6,95.6,11.9,67.8,70.9,27.8,0.74,14.7,8.5,0.0,Ville 7603,1962,5,5.65,45.25,Isere,8.883688380374108
0.0,27.5,27.5,16.3,94.0,120.1,-66.5,0.63,9.1,2.3,0.0,Ville 7603,1962,6,5.65,45.25,Isere,8.883688380374108
0.0,21.5,21.5,19.1,60.8,134.8,-39.3,0.34,2.0,0.2,0.0,Ville 7603,1962,7,5.65,45.25,Isere,8.883688380374108
0.0,30.7,30.7,20.2,50.0,136.9,-19.3,0.23,0.5,0.8,0.0,Ville 7603,1962,8,5.65,45.25,Isere,8.883688380374108
0.0,62.8,62.8,14.9,40.1,66.4,22.7,0.22,0.1,1.3,0.0,Ville 7603,1962,9,5.65,45.25,Isere,8.883688380374108
0.0,61.6,61.6,10.3,28.3,31.0,33.3,0.28,1.6,3.1,0.0,Ville 7603,1962,10,5.65,45.25,Isere,8.883688380374108
9.6,19.4,29.0,3.2,8.5,12.6,20.5,0.42,1.6,1.9,9.9,Ville 7603,1962,11,5.65,45.25,Isere,8.883688380374108
95.5,116.9,212.4,-2.4,3.3,7.5,209.1,0.56,3.2,90.5,104.4,Ville 7603,1962,12,5.65,45.25,Isere,8.883688380374108
7.3,27.6,34.9,-4.0,0.9,8.2,34.0,0.69,13.3,24.2,34.8,Ville 7603,1963,1,5.65,45.25,Isere,8.883688380374108
51.6,24.8,76.4,-2.2,0.4,11.3,76.0,0.7,3.8,27.1,35.6,Ville 7603,1963,2,5.65,45.25,Isere,8.883688380374108
13.1,154.0,167.1,4.5,13.3,28.9,153.8,0.83,39.8,141.1,172.0,Ville 7603,1963,3,5.65,45.25,Isere,8.883688380374108
0.0,99.8,99.8,9.6,51.3,53.0,48.5,0.94,70.4,14.2,0.0,Ville 7603,1963,4,5.65,45.25,Isere,8.883688380374108
0.0,99.1,99.1,12.1,88.7,90.8,10.4,0.78,20.6,8.7,0.0,Ville 7603,1963,5,5.65,45.25,Isere,8.883688380374108
0.0,118.9,118.9,16.0,86.8,82.1,32.1,0.78,15.2,11.5,0.0,Ville 7603,1963,6,5.65,45.25,Isere,8.883688380374108
0.0,87.4,87.4,19.3,120.2,124.5,-32.8,0.7,11.4,7.2,0.0,Ville 7603,1963,7,5.65,45.25,Isere,8.883688380374108
0.0,172.1,172.1,15.9,83.1,77.6,89.0,0.73,17.4,16.9,0.0,Ville 7603,1963,8,5.65,45.25,Isere,8.883688380374108
0.0,87.5,87.5,14.1,45.9,40.7,41.6,0.88,43.1,12.0,0.0,Ville 7603,1963,9,5.65,45.25,Isere,8.883688380374108
0.0,48.4,48.4,9.4,38.5,38.2,9.9,0.76,15.8,4.8,0.0,Ville 7603,1963,10,5.65,45.25,Isere,8.883688380374108
0.0,142.9,142.9,7.6,19.2,14.2,123.7,0.89,45.8,19.4,0.0,Ville 7603,1963,11,5.65,45.25,Isere,8.883688380374108
7.0,12.8,19.8,-1.4,2.5,7.8,17.3,0.89,39.0,2.5,3.0,Ville 7603,1963,12,5.65,45.25,Isere,8.883688380374108
3.0,1.4,4.4,-2.0,2.6,9.1,1.8,0.82,10.0,1.4,5.6,Ville 7603,1964,1,5.65,45.25,Isere,8.883688380374108
0.1,56.9,57.0,3.6,7.8,16.9,49.2,0.81,9.6,10.3,2.6,Ville 7603,1964,2,5.65,45.25,Isere,8.883688380374108
10.0,171.6,181.6,4.7,21.2,23.2,160.4,0.99,99.2,40.5,21.7,Ville 7603,1964,3,5.65,45.25,Isere,8.883688380374108
0.0,63.9,63.9,10.4,57.7,61.7,6.2,0.89,54.4,6.9,0.0,Ville 7603,1964,4,5.65,45.25,Isere,8.883688380374108
0.0,72.5,72.5,14.6,85.1,88.9,-12.6,0.71,11.9,5.7,0.0,Ville 7603,1964,5,5.65,45.25,Isere,8.883688380374108
0.0,77.9,77.9,17.7,106.2,118.7,-28.3,0.57,4.5,4.0,0.0,Ville 7603,1964,6,5.65,45.25,Isere,8.883688380374108
0.0,54.8,54.8,20.1,99.0,149.0,-44.2,0.39,2.0,1.5,0.0,Ville 7603,1964,7,5.65,45.25,Isere,8.883688380374108
0.0,131.9,131.9,17.8,78.7,101.1,53.2,0.36,4.3,7.9,0.0,Ville 7603,1964,8,5.65,45.25,Isere,8.883688380374108
0.0,61.9,61.9,15.2,60.8,61.2,1.1,0.46,1.8,4.0,0.0,Ville 7603,1964,9,5.65,45.25,Isere,8.883688380374108
0.0,92.0,92.0,8.4,27.8,21.4,64.2,0.61,9.8,8.6,0.0,Ville 7603,1964,10,5.65,45.25,Isere,8.883688380374108
12.0,32.0,44.0,5.0,10.9,10.7,33.1,0.68,9.5,3.8,9.2,Ville 7603,1964,11,5.65,45.25,Isere,8.883688380374108
43.0,2.3,45.3,-0.1,0.6,8.4,44.7,0.73,10.3,5.0,13.2,Ville 7603,1964,12,5.65,45.25,Isere,8.883688380374108
78.8,33.9,112.7,0.3,0.7,9.6,112.0,0.76,10.1,41.6,64.7,Ville 7603,1965,1,5.65,45.25,Isere,8.883688380374108
12.8,1.2,14.0,-1.3,3.3,18.5,10.7,0.79,13.0,1.2,6.1,Ville 7603,1965,2,5.65,45.25,Isere,8.883688380374108
11.8,111.2,123.0,5.0,18.1,37.1,104.9,0.88,51.5,100.1,144.8,Ville 7603,1965,3,5.65,45.25,Isere,8.883688380374108
5.8,92.2,98.0,7.9,54.2,53.3,43.8,0.89,39.6,11.0,6.0,Ville 7603,1965,4,5.65,45.25,Isere,8.883688380374108
0.0,116.4,116.4,12.6,87.1,86.3,29.3,0.83,31.4,12.6,0.0,Ville 7603,1965,5,5.65,45.25,Isere,8.883688380374108
0.0,66.1,66.1,17.1,94.2,103.1,-28.1,0.76,22.8,7.0,0.0,Ville 7603,1965,6,5.65,45.25,Isere,8.883688380374108
0.0,84.5,84.5,17.8,103.0,111.1,-18.5,0.52,4.2,4.1,0.0,Ville 7603,1965,7,5.65,45.25,Isere,8.883688380374108
0.0,129.1,129.1,17.3,79.5,98.7,49.6,0.48,7.1,9.9,0.0,Ville 7603,1965,8,5.65,45.25,Isere,8.883688380374108
0.0,178.1,178.1,13.1,58.5,49.7,119.6,0.8,25.6,21.1,0.0,Ville 7603,1965,9,5.65,45.25,Isere,8.883688380374108
0.0,26.9,26.9,10.9,32.3,26.3,-5.4,0.8,24.2,3.0,0.0,Ville 7603,1965,10,5.65,45.25,Isere,8.883688380374108
41.1,108.6,149.7,4.7,10.3,9.3,139.4,0.87,41.2,35.5,69.0,Ville 7603,1965,11,5.65,45.25,Isere,8.883688380374108
52.4,176.3,228.7,2.2,4.9,6.8,223.8,1.05,133.8,72.8,121.8,Ville 7603,1965,12,5.65,45.25,Isere,8.883688380374108
24.6,67.7,92.3,-1.0,1.5,7.1,90.8,0.99,72.5,50.2,52.5,Ville 7603,1966,1,5.65,45.25,Isere,8.883688380374108
0.5,117.8,118.3,6.0,11.8,13.7,106.5,1.0,74.5,18.7,0.5,Ville 7603,1966,2,5.65,45.25,Isere,8.883688380374108
30.8,39.9,70.7,4.4,37.4,43.9,33.3,0.92,53.9,8.7,39.5,Ville 7603,1966,3,5.65,45.25,Isere,8.883688380374108
0.0,127.4,127.4,10.4,50.7,49.8,76.7,0.93,57.9,17.8,0.0,Ville 7603,1966,4,5.65,45.25,Isere,8.883688380374108
0.0,100.8,100.8,13.6,88.4,91.8,12.4,0.88,54.4,13.8,0.0,Ville 7603,1966,5,5.65,45.25,Isere,8.883688380374108
0.0,81.7,81.7,17.9,106.2,121.8,-24.5,0.59,7.8,5.5,0.0,Ville 7603,1966,6,5.65,45.25,Isere,8.883688380374108
0.0,129.4,129.4,17.1,106.3,110.3,23.1,0.59,8.3,9.6,0.0,Ville 7603,1966,7,5.65,45.25,Isere,8.883688380374108
0.0,74.4,74.4,16.9,78.8,84.0,-4.4,0.51,3.9,3.4,0.0,Ville 7603,1966,8,5.65,45.25,Isere,8.883688380374108
0.0,18.5,18.5,16.7,48.1,76.9,-29.6,0.39,1.4,0.5,0.0,Ville 7603,1966,9,5.65,45.25,Isere,8.883688380374108
0.0,125.9,125.9,12.7,28.3,27.4,97.6,0.45,8.0,11.0,0.0,Ville 7603,1966,10,5.65,45.25,Isere,8.883688380374108
51.9,93.1,145.0,2.7,11.2,13.2,133.8,0.84,29.5,31.7,69.7,Ville 7603,1966,11,5.65,45.25,Isere,8.883688380374108
48.9,88.8,137.7,0.7,2.9,7.0,134.8,0.98,61.9,64.0,94.1,Ville 7603,1966,12,5.65,45.25,Isere,8.883688380374108
12.3,43.9,56.2,-0.3,1.8,7.9,54.4,0.96,31.8,39.4,45.3,Ville 7603,1967,1,5.65,45.25,Isere,8.883688380374108
12.8,65.6,78.4,2.8,8.5,12.4,69.9,0.94,28.9,29.9,26.3,Ville 7603,1967,2,5.65,45.25,Isere,8.883688380374108
0.1,70.5,70.6,7.2,35.3,39.2,35.3,0.93,56.7,9.2,0.1,Ville 7603,1967,3,5.65,45.25,Isere,8.883688380374108
